FID;CODIGO REGION;REGION;CODIGO PROVINCIA;PROVINCIA;CODIGO COMUNA;NOMBRE COMUNA;DISTRITO;AREA;Shape__Area;Shape__Length;CODIGO LOCALIDAD;LOCALIDAD;CODIGO ENTIDAD;ENTIDAD;CODIGO CATEGORIA;CATEGORIA;Número total de personas;Total de Hombres;Total de Mujeres;Total de personas de 0 a 5 años;Total de personas de 6 a 14 años;Total de personas de 15 a 64 años;Total de personas de 65 y más años;Total personas migrantes que residen habitualmente en el territorio nacional;Total personas que se consideran pertenecientes a algún pueblo indígena u originario;Total de viviendas particulares;Total viviendas colectivas;Total viviendas ocupadas con moradores presentes;Total viviendas;Cantidad de hogares;Cantidad de viviendas tipo casa;Cantidad de viviendas tipo departamento en edificio;Cantidad de viviendas tipo vivienda tradicional indígena (ruka, pae pae u otras);Cantidad de viviendas tipo pieza en casa antigua o en conventillo;Cantidad de viviendas tipo mediagua, mejora, rancho o choza;Cantidad de viviendas tipo móvil (carpa, casa rodante o similar);Cantidad de viviendas tipo otro tipo de vivienda particular;Cantidad de viviendas con materialidad en paredes de Hormigón armado;Cantidad de viviendas con materialidad en paredes de albañilería: bloque de cemento, piedra o ladrillo;Cantidad de viviendas con materialidad en paredes de tabique forrado por ambas caras (madera o acero);Cantidad de viviendas con materialidad en paredes de tabique sin forro interior (madera u otro);Cantidad de viviendas con materialidad en paredes de adobe, barro, quincha, pirca u otro artesanal tradicional;Cantidad de viviendas con materialidad en paredes de materiales precarios (lata, cartón, plástico, etc.);Cantidad de viviendas con materialidad de techo tejas o tejuelas de arcilla, metálicas, de cemento, de madera, asfálticas o plásticas;Cantidad de viviendas con materialidad de techo losa hormigón;Cantidad de viviendas con materialidad de techo planchas metálicas de zinc, cobre, etc. O fibrocemento (tipo pizarreño);Cantidad de viviendas con materialidad de techo fonolita o plancha de fieltro embreado;Cantidad de viviendas con materialidad de techo paja, coirón, totora o caña;Cantidad de viviendas con materialidad de techo materiales precarios (lata, cartón, plástico, etc.);Cantidad de viviendas con materialidad de techo sin cubierta sólida de techo;Cantidad de viviendas con materialidad de piso parquet, piso flotante, cerámico, madera, alfombra, flexit, cubrepiso u otro similar, sobre radier o vigas de madera;Viviendas con materialidad de piso radier sin revestimiento;Viviendas con materialidad de piso baldosa de cemento;Viviendas con materialidad de piso capa de cemento sobre tierra;Viviendas con materialidad de piso tierra;Total viviendas con materialidad aceptable;Total viviendas con materialidad recuperable;Total viviendas con materialidad irrecuperable;Cantidad de viviendas con origen del agua por red pública;Cantidad de viviendas con origen del agua por pozo o noria;Cantidad de viviendas con origen del agua por camión aljibe;Cantidad de viviendas con origen del agua por río, vertiente, estero, canal, lago, etc.;x;y
25976;8;REGIÓN DEL BIOBÍO;81;CONCEPCIÓN;8109;SANTA JUANA;3;2;19620354.1523438;24140.4244823432;30;TANAHULLÍN;89;TANAHULLÍN;8;Parcela-Hijuela;31;14;17;0;Indeterminado;18;Indeterminado;0;Indeterminado;28;0;14;28;14;24;0;0;0;4;0;0;0;1;10;2;1;0;0;0;14;0;0;0;0;12;0;0;0;2;11;1;2;0;4;6;4;;
25977;8;REGIÓN DEL BIOBÍO;81;CONCEPCIÓN;8109;SANTA JUANA;3;2;8086934.6875;16268.651598599;7;COLICO BAJO;17;PASO HONDO;8;Parcela-Hijuela;7;Indeterminado;Indeterminado;0;Indeterminado;5;Indeterminado;0;0;9;0;4;9;4;9;0;0;0;0;0;0;0;0;4;0;0;0;0;0;4;0;0;0;0;4;0;0;0;0;4;0;0;0;0;0;4;;
25978;8;REGIÓN DEL BIOBÍO;81;CONCEPCIÓN;8109;SANTA JUANA;3;2;46294053.4453125;34192.2154628475;5;CHIVICURA;9;MERO;8;Parcela-Hijuela;14;6;8;0;Indeterminado;7;Indeterminado;0;0;11;0;6;11;6;10;0;0;0;1;0;0;0;0;4;2;0;0;0;0;6;0;0;0;0;5;0;1;0;0;3;3;0;0;1;2;3;;
25979;8;REGIÓN DEL BIOBÍO;81;CONCEPCIÓN;8109;SANTA JUANA;4;2;18418459.3710938;17766.3795288637;30;TANAHULLÍN;87;EL VENADO;8;Parcela-Hijuela;22;14;8;0;Indeterminado;12;Indeterminado;Indeterminado;0;28;0;13;28;13;28;0;0;0;0;0;0;0;0;11;1;1;0;0;0;13;0;0;0;0;10;1;1;0;1;9;3;1;0;2;1;10;;
25980;8;REGIÓN DEL BIOBÍO;81;CONCEPCIÓN;8109;SANTA JUANA;4;2;6644058.99609375;15186.2411651291;1;BALSEADERO;2;VILLA BALSEADERO;8;Parcela-Hijuela;13;9;4;0;0;Indeterminado;Indeterminado;0;Indeterminado;10;0;7;10;7;8;0;0;0;2;0;0;0;1;3;0;2;1;1;0;6;0;0;0;0;3;3;0;0;1;2;3;2;0;0;0;7;;
25981;8;REGIÓN DEL BIOBÍO;81;CONCEPCIÓN;8109;SANTA JUANA;4;2;22093965.4648438;26025.8833640932;10;CURAMÁVIDA;28;CURAMÁVIDA;8;Parcela-Hijuela;137;71;66;7;7;78;45;0;4;72;0;54;72;54;70;0;0;0;2;0;0;0;2;37;15;0;0;3;0;51;0;0;0;0;47;0;2;2;2;37;14;2;0;34;9;11;;
25982;8;REGIÓN DEL BIOBÍO;81;CONCEPCIÓN;8109;SANTA JUANA;4;2;6501305.17578125;10556.8699261695;10;CURAMÁVIDA;29;LOS PEUMOS;8;Parcela-Hijuela;46;22;24;4;4;31;7;0;0;20;0;17;20;17;16;0;0;1;3;0;0;0;0;11;5;1;0;1;0;16;0;0;0;0;14;1;1;1;0;10;7;0;0;1;0;16;;
25983;8;REGIÓN DEL BIOBÍO;81;CONCEPCIÓN;8109;SANTA JUANA;4;2;13243153.6210938;18700.5351728164;14;LA HUERTA;43;BAJO LA HUERTA;8;Parcela-Hijuela;43;21;22;Indeterminado;Indeterminado;23;Indeterminado;0;5;26;0;18;26;18;23;0;0;0;2;0;1;0;1;11;6;0;0;2;0;16;0;0;0;0;14;3;0;0;1;9;8;1;0;4;3;11;;
25984;8;REGIÓN DEL BIOBÍO;81;CONCEPCIÓN;8109;SANTA JUANA;4;2;6418573.69140625;10498.5137245003;31;TORRE DORADA;92;TORRE DORADA;8;Parcela-Hijuela;25;15;10;0;Indeterminado;Indeterminado;14;0;0;23;0;13;23;13;23;0;0;0;0;0;0;1;1;9;2;0;0;2;0;11;0;0;0;0;12;0;1;0;0;10;3;0;0;2;3;8;;
25985;8;REGIÓN DEL BIOBÍO;81;CONCEPCIÓN;8109;SANTA JUANA;4;2;5914526.953125;17425.5804465316;31;TORRE DORADA;93;TORRE DORADA BAJO;8;Parcela-Hijuela;35;14;21;0;Indeterminado;Indeterminado;16;0;Indeterminado;25;0;14;25;14;25;0;0;0;0;0;0;0;1;8;4;1;0;1;0;13;0;0;0;0;12;0;0;0;2;8;4;2;0;0;1;13;;
25986;8;REGIÓN DEL BIOBÍO;81;CONCEPCIÓN;8109;SANTA JUANA;5;2;3348285.78125;9604.95248708047;30;TANAHULLÍN;86;EL MOLINO;8;Parcela-Hijuela;13;7;6;Indeterminado;Indeterminado;8;Indeterminado;0;0;9;0;4;9;4;9;0;0;0;0;0;0;0;0;4;0;0;0;0;0;4;0;0;0;0;4;0;0;0;0;4;0;0;0;0;0;4;;
25987;8;REGIÓN DEL BIOBÍO;81;CONCEPCIÓN;8109;SANTA JUANA;5;2;11792994.0039063;16393.1300529331;4;CHACAY;5;CHACAY;8;Parcela-Hijuela;101;49;52;4;9;60;28;0;Indeterminado;61;0;40;61;40;59;0;0;0;0;0;2;1;4;32;3;0;0;2;0;38;0;0;0;0;37;1;1;1;0;34;6;0;1;12;0;27;;
25988;8;REGIÓN DEL BIOBÍO;81;CONCEPCIÓN;8109;SANTA JUANA;5;2;7266002.4453125;13175.3355279885;4;CHACAY;6;EL PINO;8;Parcela-Hijuela;68;35;33;Indeterminado;Indeterminado;47;14;0;Indeterminado;41;0;25;41;25;40;0;0;0;1;0;0;0;6;16;3;0;0;2;0;23;0;0;0;0;22;1;1;1;0;20;5;0;1;5;0;19;;
25989;8;REGIÓN DEL BIOBÍO;81;CONCEPCIÓN;8109;SANTA JUANA;5;2;5218872.390625;12485.515098534;4;CHACAY;7;LOS CASTAÑOS;8;Parcela-Hijuela;40;23;17;Indeterminado;Indeterminado;25;12;0;Indeterminado;36;0;16;36;16;36;0;0;0;0;0;0;1;2;10;2;1;0;0;0;16;0;0;0;0;15;1;0;0;0;12;4;0;0;0;1;15;;
25990;8;REGIÓN DEL BIOBÍO;81;CONCEPCIÓN;8109;SANTA JUANA;5;2;8727605.3359375;12482.3542221723;6;COLICO ALTO;11;COLICO ALTO;8;Parcela-Hijuela;82;48;34;Indeterminado;Indeterminado;54;15;0;9;41;0;26;41;26;41;0;0;0;0;0;0;0;0;20;6;0;0;3;0;23;0;0;0;0;23;3;0;0;0;18;8;0;0;3;4;19;;
25991;8;REGIÓN DEL BIOBÍO;81;CONCEPCIÓN;8109;SANTA JUANA;5;2;4931669.21484375;9921.07067653226;7;COLICO BAJO;13;COLICO BAJO;8;Parcela-Hijuela;25;11;14;Indeterminado;Indeterminado;17;5;0;Indeterminado;23;0;11;23;11;22;0;0;0;0;0;1;0;0;11;0;0;0;1;0;9;0;0;0;1;10;0;0;1;0;10;0;1;1;0;4;6;;
25992;8;REGIÓN DEL BIOBÍO;81;CONCEPCIÓN;8109;SANTA JUANA;5;2;8849293.94140625;16221.454138343;7;COLICO BAJO;15;EL QUILQUE;8;Parcela-Hijuela;74;37;37;Indeterminado;Indeterminado;46;20;0;0;59;0;34;59;34;57;0;0;0;2;0;0;1;1;27;3;1;1;3;0;31;0;0;0;0;29;1;3;0;1;25;7;2;1;20;6;7;;
25993;8;REGIÓN DEL BIOBÍO;81;CONCEPCIÓN;8109;SANTA JUANA;5;2;11284292.0820313;17285.6898093771;7;COLICO BAJO;16;LAS ARENITAS;8;Parcela-Hijuela;59;31;28;Indeterminado;Indeterminado;37;15;0;Indeterminado;54;0;28;54;28;54;0;0;0;0;0;0;0;2;23;1;0;2;1;0;27;0;0;0;0;23;0;3;0;1;21;4;2;0;17;7;4;;
25994;8;REGIÓN DEL BIOBÍO;81;CONCEPCIÓN;8109;SANTA JUANA;5;2;1197424.828125;4339.42548087264;7;COLICO BAJO;14;COLICO SUR;8;Parcela-Hijuela;0;0;0;0;Indeterminado;0;Indeterminado;0;0;5;0;0;5;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
25995;8;REGIÓN DEL BIOBÍO;81;CONCEPCIÓN;8109;SANTA JUANA;5;2;1145142.38671875;4562.40263569447;7;COLICO BAJO;17;PASO HONDO;8;Parcela-Hijuela;14;7;7;Indeterminado;0;11;Indeterminado;0;Indeterminado;17;0;6;17;6;17;0;0;0;0;0;0;0;0;6;0;0;0;0;0;6;0;0;0;0;6;0;0;0;0;6;0;0;0;2;3;1;;
25996;8;REGIÓN DEL BIOBÍO;81;CONCEPCIÓN;8109;SANTA JUANA;5;2;10080557.2734375;14935.3105720824;7;COLICO BAJO;18;TRES ROSAS;8;Parcela-Hijuela;78;37;41;Indeterminado;Indeterminado;43;28;0;0;60;0;38;60;38;59;0;0;0;1;0;0;2;4;26;6;0;0;2;0;34;1;0;0;0;27;3;1;5;0;22;14;0;1;12;5;19;;
25997;8;REGIÓN DEL BIOBÍO;81;CONCEPCIÓN;8109;SANTA JUANA;5;2;5433392.81640625;10387.3921971672;15;LAS CORRIENTES;46;LAS CORRIENTES;8;Parcela-Hijuela;18;10;8;Indeterminado;0;Indeterminado;9;0;0;17;0;9;17;9;17;0;0;0;0;0;0;0;1;5;2;0;1;2;0;7;0;0;0;0;8;1;0;0;0;6;2;1;0;0;0;9;;
25998;8;REGIÓN DEL BIOBÍO;81;CONCEPCIÓN;8109;SANTA JUANA;5;2;458741.03125;3135.37078361444;24;PODUCO ALTO;65;LO MARTÍNEZ;8;Parcela-Hijuela;29;19;10;0;0;20;9;0;0;13;0;12;13;12;12;0;0;0;1;0;0;0;3;8;1;0;0;0;0;12;0;0;0;0;12;0;0;0;0;11;1;0;0;5;0;7;;
25999;8;REGIÓN DEL BIOBÍO;81;CONCEPCIÓN;8109;SANTA JUANA;5;2;7780057.6015625;13430.1620128705;8;COLICO CENTRO;19;COLICO CENTRO;8;Parcela-Hijuela;67;34;33;Indeterminado;Indeterminado;41;16;Indeterminado;0;43;0;26;43;27;40;0;0;1;2;0;0;0;5;17;4;0;0;2;0;24;0;0;0;0;20;3;1;1;1;17;8;1;9;3;3;11;;
26000;8;REGIÓN DEL BIOBÍO;81;CONCEPCIÓN;8109;SANTA JUANA;5;2;7167684.8984375;12806.3283961609;8;COLICO CENTRO;20;NUEVA COLICO CENTRO;8;Parcela-Hijuela;37;21;16;Indeterminado;Indeterminado;22;11;Indeterminado;0;43;0;15;43;15;43;0;0;0;0;0;0;1;0;11;3;0;0;0;0;11;0;0;1;3;12;0;0;3;0;8;3;4;2;0;0;13;;
26001;8;REGIÓN DEL BIOBÍO;81;CONCEPCIÓN;8109;SANTA JUANA;6;2;39331471.4023438;40826.9021112586;9;CURALÍ;23;CURALÍ;8;Parcela-Hijuela;244;130;114;12;19;159;54;0;42;120;0;87;120;87;120;0;0;0;0;0;0;2;5;63;16;0;1;3;0;83;1;0;0;0;78;2;2;1;4;63;19;5;1;3;2;81;;
26002;8;REGIÓN DEL BIOBÍO;81;CONCEPCIÓN;8109;SANTA JUANA;6;2;802057.5078125;4783.1921209609;9;CURALÍ;27;PASO LARGO;8;Parcela-Hijuela;7;Indeterminado;Indeterminado;0;0;Indeterminado;Indeterminado;Indeterminado;Indeterminado;4;0;4;4;4;4;0;0;0;0;0;0;0;0;3;1;0;0;0;0;4;0;0;0;0;4;0;0;0;0;3;1;0;0;1;0;3;;
26003;8;REGIÓN DEL BIOBÍO;81;CONCEPCIÓN;8109;SANTA JUANA;6;2;2698090;10017.7973586976;25;PODUCO BAJO;67;LA PEÑA;8;Parcela-Hijuela;77;39;38;4;10;47;16;0;Indeterminado;39;0;24;39;24;39;0;0;0;0;0;0;0;2;14;7;0;1;4;0;20;0;0;0;0;19;0;3;0;2;11;10;3;0;7;2;14;;
26004;8;REGIÓN DEL BIOBÍO;81;CONCEPCIÓN;8109;SANTA JUANA;6;2;3466176.89453125;9170.83017276033;25;PODUCO BAJO;68;LAS ARENITAS;8;Parcela-Hijuela;21;9;12;0;Indeterminado;Indeterminado;10;0;Indeterminado;14;0;9;14;9;14;0;0;0;0;0;0;0;3;6;0;0;0;2;0;7;0;0;0;0;9;0;0;0;0;9;0;0;0;5;2;2;;
26005;8;REGIÓN DEL BIOBÍO;81;CONCEPCIÓN;8109;SANTA JUANA;6;2;24197933.2265625;26931.5590116288;25;PODUCO BAJO;69;PASO HONDO;8;Parcela-Hijuela;106;58;48;5;6;66;29;0;7;65;0;43;65;43;64;0;0;1;0;0;0;0;4;32;7;0;0;3;0;40;0;0;0;0;38;0;2;1;2;33;8;2;0;6;3;34;;
26006;8;REGIÓN DEL BIOBÍO;81;CONCEPCIÓN;8109;SANTA JUANA;6;2;10606091.9726563;15393.5349790918;25;PODUCO BAJO;70;SAN ADRIÁN;8;Parcela-Hijuela;86;41;45;7;Indeterminado;Indeterminado;24;0;8;36;0;33;36;33;36;0;0;0;0;0;0;1;3;18;10;1;0;3;0;30;0;0;0;0;28;3;2;0;0;18;15;0;0;4;6;21;;
26007;8;REGIÓN DEL BIOBÍO;81;CONCEPCIÓN;8109;SANTA JUANA;6;2;6545460.42578125;11896.1639145144;26;PURGATORIO;74;VALLE HERMOSO;8;Parcela-Hijuela;19;11;8;0;Indeterminado;13;Indeterminado;0;Indeterminado;11;0;10;11;10;10;0;0;0;1;0;0;3;0;0;5;0;2;0;0;8;0;0;2;0;8;0;0;0;2;3;4;3;0;0;3;7;;
26008;8;REGIÓN DEL BIOBÍO;81;CONCEPCIÓN;8109;SANTA JUANA;7;2;5241339.08984375;11271.3176121124;4;CHACAY;5;CHACAY;8;Parcela-Hijuela;48;23;25;Indeterminado;Indeterminado;31;11;0;Indeterminado;39;0;19;39;22;39;0;0;0;0;0;0;0;2;14;3;0;0;2;0;17;0;0;0;0;19;0;0;0;0;16;3;0;0;1;1;17;;
26009;8;REGIÓN DEL BIOBÍO;81;CONCEPCIÓN;8109;SANTA JUANA;7;2;16136912.8984375;19877.5344374889;4;CHACAY;8;SAN JOSÉ;8;Parcela-Hijuela;55;27;28;Indeterminado;Indeterminado;30;15;0;Indeterminado;39;0;19;39;19;39;0;0;0;0;0;0;0;0;15;4;0;0;1;0;18;0;0;0;0;17;0;2;0;0;13;6;0;0;0;0;19;;
26010;8;REGIÓN DEL BIOBÍO;81;CONCEPCIÓN;8109;SANTA JUANA;7;2;8308263.94921875;18728.3640342694;24;PODUCO ALTO;64;COIHUE;8;Parcela-Hijuela;25;12;13;Indeterminado;Indeterminado;17;Indeterminado;0;Indeterminado;17;0;11;17;11;16;0;0;0;1;0;0;0;1;8;1;1;0;0;0;11;0;0;0;0;9;0;2;0;0;8;3;0;0;0;1;10;;
26011;8;REGIÓN DEL BIOBÍO;81;CONCEPCIÓN;8109;SANTA JUANA;7;2;17949602.6445313;22560.1340336061;24;PODUCO ALTO;66;PODUCO ALTO;8;Parcela-Hijuela;68;39;29;Indeterminado;Indeterminado;47;Indeterminado;0;Indeterminado;45;0;23;45;24;44;0;0;0;0;0;1;0;1;21;1;0;0;0;0;23;0;0;0;0;19;0;3;0;1;19;3;1;0;5;0;18;;
26012;8;REGIÓN DEL BIOBÍO;81;CONCEPCIÓN;8109;SANTA JUANA;7;2;4039722.953125;10457.0319989991;26;PURGATORIO;73;SAN JORGE;8;Parcela-Hijuela;29;Indeterminado;Indeterminado;Indeterminado;Indeterminado;Indeterminado;Indeterminado;0;Indeterminado;24;0;15;24;15;24;0;0;0;0;0;0;0;1;12;2;0;0;2;0;13;0;0;0;0;9;3;3;0;0;8;7;0;0;0;1;14;;
26013;8;REGIÓN DEL BIOBÍO;81;CONCEPCIÓN;8109;SANTA JUANA;7;2;7826046.1484375;11342.0763755085;26;PURGATORIO;71;PURGATORIO;8;Parcela-Hijuela;7;Indeterminado;Indeterminado;Indeterminado;Indeterminado;Indeterminado;Indeterminado;0;Indeterminado;11;0;4;11;4;10;0;0;0;1;0;0;0;0;4;0;0;0;0;0;4;0;0;0;0;4;0;0;0;0;4;0;0;0;0;1;3;;
26014;8;REGIÓN DEL BIOBÍO;81;CONCEPCIÓN;8109;SANTA JUANA;7;2;3132928.26171875;8040.40723242039;28;SAN JERÓNIMO;79;EL FUERTE;8;Parcela-Hijuela;27;12;15;Indeterminado;Indeterminado;16;7;0;0;18;0;9;18;9;18;0;0;0;0;0;0;0;1;8;0;0;0;0;0;9;0;0;0;0;9;0;0;0;0;9;0;0;3;0;0;6;;
26015;8;REGIÓN DEL BIOBÍO;81;CONCEPCIÓN;8109;SANTA JUANA;7;2;7088362.7265625;14944.2179456093;28;SAN JERÓNIMO;82;VAO LOS GANZOS;8;Parcela-Hijuela;67;37;30;6;6;42;13;0;0;45;0;24;45;24;45;0;0;0;0;0;0;0;1;19;4;0;0;0;0;24;0;0;0;0;22;1;0;1;0;19;5;0;2;1;0;21;;
26016;8;REGIÓN DEL BIOBÍO;81;CONCEPCIÓN;8109;SANTA JUANA;8;2;91169191.5898438;54673.4904145923;3;CABRERA;4;CABRERA BAJO;8;Parcela-Hijuela;54;29;25;Indeterminado;Indeterminado;38;9;0;Indeterminado;21;0;19;21;19;20;0;0;0;1;0;0;0;0;8;11;0;0;4;0;14;1;0;0;0;9;5;1;3;1;4;14;1;0;2;0;17;;
26017;8;REGIÓN DEL BIOBÍO;81;CONCEPCIÓN;8109;SANTA JUANA;8;2;71611326.5234375;53317.4189210396;11;ESPIGADO;31;ESPIGADO;8;Parcela-Hijuela;200;113;87;Indeterminado;20;134;Indeterminado;0;Indeterminado;105;0;73;105;73;104;0;0;0;1;0;0;0;5;49;19;0;0;9;0;62;1;0;1;0;69;1;0;3;0;50;22;1;0;3;0;70;;
26018;8;REGIÓN DEL BIOBÍO;81;CONCEPCIÓN;8109;SANTA JUANA;8;2;34034318.1484375;25558.3632546632;11;ESPIGADO;32;LAS CACHAÑAS;8;Parcela-Hijuela;10;Indeterminado;Indeterminado;0;0;6;4;0;Indeterminado;9;0;7;9;7;7;0;0;0;2;0;0;0;0;3;2;1;1;0;0;6;1;0;0;0;4;0;0;0;2;2;1;3;0;0;0;7;;
